0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
-0.0543245 0.947034 1.94839 2.94975 3.95111 4.95247 5.95382 6.95518 7.95654 8.9579 9.95926 10.9606 11.962 12.9633 13.9647 14.966 15.9674 16.9688 17.9701 18.9715 19.9728 20.9742 21.9756 22.9769 23.9783 24.9796 25.981 26.9823 27.9837 28.9851 29.9864 30.9878 31.9891 32.9905 33.9919 34.9932 35.9946 36.9959 37.9973 38.9986 40
-0.120174 0.882831 1.88584 2.88884 3.89184 4.89485 5.89785 6.90086 7.90386 8.90687 9.90987 10.9129 11.9159 12.9189 13.9219 14.9249 15.9279 16.9309 17.9339 18.9369 19.9399 20.9429 21.9459 22.9489 23.9519 24.9549 25.9579 26.9609 27.9639 28.967 29.97 30.973 31.976 32.979 33.982 34.985 35.988 36.991 37.994 38.997 40
-0.186131 0.818522 1.82318 2.82783 3.83248 4.83714 5.84179 6.84644 7.8511 8.85575 9.8604 10.8651 11.8697 12.8744 13.879 14.8837 15.8883 16.893 17.8976 18.9023 19.9069 20.9116 21.9162 22.9209 23.9255 24.9302 25.9349 26.9395 27.9442 28.9488 29.9535 30.9581 31.9628 32.9674 33.9721 34.9767 35.9814 36.986 37.9907 38.9953 40
-0.252197 0.754108 1.76041 2.76672 3.77302 4.77933 5.78563 6.79194 7.79824 8.80455 9.81085 10.8172 11.8235 12.8298 13.8361 14.8424 15.8487 16.855 17.8613 18.8676 19.8739 20.8802 21.8865 22.8928 23.8991 24.9054 25.9117 26.918 27.9243 28.9306 29.937 30.9433 31.9496 32.9559 33.9622 34.9685 35.9748 36.9811 37.9874 38.9937 40
-0.318371 0.689588 1.69755 2.70551 3.71347 4.72143 5.72938 6.73734 7.7453 8.75326 9.76122 10.7692 11.7771 12.7851 13.7931 14.801 15.809 16.8169 17.8249 18.8329 19.8408 20.8488 21.8567 22.8647 23.8727 24.8806 25.8886 26.8965 27.9045 28.9124 29.9204 30.9284 31.9363 32.9443 33.9522 34.9602 35.9682 36.9761 37.9841 38.992 40
-0.384655 0.624962 1.63458 2.64419 3.65381 4.66343 5.67304 6.68266 7.69228 8.70189 9.71151 10.7211 11.7307 12.7404 13.75 14.7596 15.7692 16.7788 17.7884 18.7981 19.8077 20.8173 21.8269 22.8365 23.8461 24.8558 25.8654 26.875 27.8846 28.8942 29.9038 30.9135 31.9231 32.9327 33.9423 34.9519 35.9615 36.9712 37.9808 38.9904 40
-0.451047 0.560229 1.57151 2.58278 3.59406 4.60533 5.61661 6.62789 7.63916 8.65044 9.66171 10.673 11.6843 12.6955 13.7068 14.7181 15.7294 16.7406 17.7519 18.7632 19.7745 20.7858 21.797 22.8083 23.8196 24.8309 25.8421 26.8534 27.8647 28.876 29.8872 30.8985 31.9098 32.9211 33.9323 34.9436 35.9549 36.9662 37.9774 38.9887 40
-0.517548 0.495391 1.50833 2.52127 3.53421 4.54715 5.56008 6.57302 7.58596 8.5989 9.61184 10.6248 11.6377 12.6507 13.6636 14.6765 15.6895 16.7024 17.7153 18.7283 19.7412 20.7542 21.7671 22.78 23.793 24.8059 25.8189 26.8318 27.8447 28.8577 29.8706 30.8836 31.8965 32.9094 33.9224 34.9353 35.9482 36.9612 37.9741 38.9871 40
-0.584159 0.430445 1.44505 2.45965 3.47426 4.48886 5.50346 6.51807 7.53267 8.54728 9.56188 10.5765 11.5911 12.6057 13.6203 14.6349 15.6495 16.6641 17.6787 18.6933 19.7079 20.7225 21.7371 22.7517 23.7663 24.7809 25.7955 26.8101 27.8248 28.8394 29.854 30.8686 31.8832 32.8978 33.9124 34.927 35.9416 36.9562 37.9708 38.9854 40
-0.650879 0.365393 1.38166 2.39794 3.41421 4.43048 5.44675 6.46302 7.4793 8.49557 9.51184 10.5281 11.5444 12.5607 13.5769 14.5932 15.6095 16.6257 17.642 18.6583 19.6746 20.6908 21.7071 22.7234 23.7396 24.7559 25.7722 26.7885 27.8047 28.821 29.8373 30.8536 31.8698 32.8861 33.9024 34.9186 35.9349 36.9512 37.9675 38.9837 40
-0.717709 0.300234 1.31818 2.33612 3.35406 4.372 5.38995 6.40789 7.42583 8.44378 9.46172 10.4797 11.4976 12.5155 13.5335 14.5514 15.5694 16.5873 17.6053 18.6232 19.6411 20.6591 21.677 22.695 23.7129 24.7309 25.7488 26.7667 27.7847 28.8026 29.8206 30.8385 31.8565 32.8744 33.8923 34.9103 35.9282 36.9462 37.9641 38.9821 40
-0.784649 0.234968 1.25458 2.2742 3.29382 4.31343 5.33305 6.35266 7.37228 8.3919 9.41151 10.4311 11.4507 12.4704 13.49 14.5096 15.5292 16.5488 17.5684 18.5881 19.6077 20.6273 21.6469 22.6665 23.6861 24.7058 25.7254 26.745 27.7646 28.7842 29.8038 30.8235 31.8431 32.8627 33.8823 34.9019 35.9215 36.9412 37.9608 38.9804 40
-0.851698 0.169594 1.19089 2.21218 3.23347 4.25476 5.27606 6.29735 7.31864 8.33993 9.36123 10.3825 11.4038 12.4251 13.4464 14.4677 15.489 16.5103 17.5316 18.5529 19.5742 20.5954 21.6167 22.638 23.6593 24.6806 25.7019 26.7232 27.7445 28.7658 29.7871 30.8084 31.8297 32.851 33.8722 34.8935 35.9148 36.9361 37.9574 38.9787 40
